r,tip3p,tip3pc
0.0125,0,0
0.0375,0,0
0.0625,0,0
0.0875,0,0
0.1125,0,0
0.1375,0,0
0.1625,0,0
0.1875,0,0
0.2125,0,0
0.2375,0,0
0.2625,0,0
0.2875,0,0
0.3125,0,0
0.3375,0,0
0.3625,0,0
0.3875,0,0
0.4125,0,0
0.4375,0,0
0.4625,0,0
0.4875,0,0
0.5125,0,0
0.5375,0,0
0.5625,0,0
0.5875,0,0
0.6125,0,0
0.6375,0,0
0.6625,0,0
0.6875,0,0
0.7125,0,0
0.7375,0,0
0.7625,0,0
0.7875,0,0
0.8125,0,0
0.8375,0,0
0.8625,0,0
0.8875,0,0
0.9125,0,0
0.9375,0,0
0.9625,0,0
0.9875,0,0
1.0125,0,0
1.0375,0,0
1.0625,0,0
1.0875,0,0
1.1125,0,0
1.1375,0,0
1.1625,0,0
1.1875,0,0
1.2125,0,0
1.2375,0,0
1.2625,0,0
1.2875,0,0
1.3125,0,0
1.3375,0,0
1.3625,0,0
1.3875,0,0
1.4125,0,0
1.4375,0,0
1.4625,0,0
1.4875,0,0
1.5125,0,0
1.5375,0,0
1.5625,0,0
1.5875,0,0
1.6125,0,0
1.6375,0,0
1.6625,0,0
1.6875,0,0
1.7125,0,0
1.7375,0,0
1.7625,0,0
1.7875,0,0
1.8125,0,0
1.8375,0,0
1.8625,0,0
1.8875,0,0
1.9125,0,0
1.9375,0,0
1.9625,0,0
1.9875,0,0
2.0125,0,0
2.0375,0,0
2.0625,0,0
2.0875,0,0
2.1125,0,0
2.1375,0,0
2.1625,0,0
2.1875,0,0
2.2125,0,0
2.2375,0,0
2.2625,0,0
2.2875,0,0
2.3125,0,0
2.3375,0,0
2.3625,0,0
2.3875,0,0
2.4125,0,0
2.4375,0.0174666,0.0259008
2.4625,0.0599006,0.00846574
2.4875,0.0839065,0.0580617
2.5125,0.172653,0.0812593
2.5375,0.241814,0.151411
2.5625,0.197636,0.203212
2.5875,0.395449,0.283457
2.6125,0.372833,0.353223
2.6375,0.619404,0.516441
2.6625,0.571294,0.622348
2.6875,0.704365,0.682311
2.7125,0.571459,0.641512
2.7375,0.595854,0.64373
2.7625,0.591831,0.914525
2.7875,0.72837,0.799126
2.8125,0.531808,0.752496
2.8375,0.735057,0.809336
2.8625,0.513215,0.776482
2.8875,0.491705,0.664798
2.9125,0.544708,0.798456
2.9375,0.589605,0.695865
2.9625,0.496765,0.491097
2.9875,0.552566,0.511592
3.0125,0.371792,0.588107
3.0375,0.523332,0.483645
3.0625,0.415154,0.519801
3.0875,0.315772,0.538242
3.1125,0.310726,0.550885
3.1375,0.28476,0.510867
3.1625,0.378839,0.338684
3.1875,0.311688,0.368696
3.2125,0.367294,0.427557
3.2375,0.371557,0.3624
3.2625,0.185424,0.352102
3.2875,0.269027,0.308579
3.3125,0.283902,0.350836
3.3375,0.335646,0.428477
3.3625,0.247873,0.335852
3.3875,0.208109,0.366658
3.4125,0.280787,0.308447
3.4375,0.29877,0.34744
3.4625,0.294422,0.359593
3.4875,0.281737,0.265817
3.5125,0.281831,0.403416
3.5375,0.273753,0.410091
3.5625,0.306829,0.347836
3.5875,0.306624,0.386626
3.6125,0.30242,0.302841
3.6375,0.254954,0.325698
3.6625,0.255368,0.374945
3.6875,0.305493,0.3321
3.7125,0.259939,0.357354
3.7375,0.327056,0.334269
3.7625,0.282307,0.435014
3.7875,0.336569,0.386297
3.8125,0.332203,0.413004
3.8375,0.334958,0.463565
3.8625,0.340963,0.467692
3.8875,0.377943,0.444776
3.9125,0.400285,0.519547
3.9375,0.428639,0.513077
3.9625,0.383512,0.568811
3.9875,0.417906,0.551889
4.0125,0.480472,0.554484
4.0375,0.474474,0.566596
4.0625,0.481322,0.593993
4.0875,0.428809,0.638943
4.1125,0.491164,0.694795
4.1375,0.42462,0.584527
4.1625,0.572291,0.639795
4.1875,0.518029,0.670129
4.2125,0.585107,0.644833
4.2375,0.560868,0.648702
4.2625,0.574468,0.720175
4.2875,0.629858,0.764784
4.3125,0.642168,0.703618
4.3375,0.63751,0.728092
4.3625,0.733769,0.773669
4.3875,0.741531,0.90089
4.4125,0.714664,0.793278
4.4375,0.640702,0.841663
4.4625,0.711682,0.912207
4.4875,0.724505,0.856065
4.5125,0.854171,0.892126
4.5375,0.784236,0.834894
4.5625,0.795423,0.919255
4.5875,0.816489,0.98244
4.6125,0.834575,1.01777
4.6375,0.796503,0.968756
4.6625,0.852596,0.897015
4.6875,0.782002,0.959891
4.7125,0.790202,0.975065
4.7375,0.804865,0.948835
4.7625,0.940694,0.923023
4.7875,0.815465,1.00075
4.8125,0.876365,1.01029
4.8375,0.882858,0.951687
4.8625,0.82575,0.952867
4.8875,0.862925,0.927871
4.9125,0.838955,0.956697
4.9375,0.851862,0.898818
4.9625,0.845413,0.850121
4.9875,0.811866,0.961185
5.0125,0.731334,0.921077
5.0375,0.777368,0.982704
5.0625,0.830425,0.930978
5.0875,0.764108,0.904115
5.1125,0.808433,0.893168
5.1375,0.690415,0.828221
5.1625,0.699288,0.860645
5.1875,0.812162,0.880839
5.2125,0.81397,0.925488
5.2375,0.781662,0.813686
5.2625,0.742237,0.878296
5.2875,0.722431,0.846092
5.3125,0.781834,0.876433
5.3375,0.701621,0.882651
5.3625,0.695117,0.799386
5.3875,0.692231,0.829241
5.4125,0.662791,0.826642
5.4375,0.691889,0.892049
5.4625,0.689013,0.754976
5.4875,0.711964,0.821379
5.5125,0.73969,0.832456
5.5375,0.684038,0.838509
5.5625,0.739923,0.796024
5.5875,0.61354,0.798802
5.6125,0.677306,0.791685
5.6375,0.656649,0.736309
5.6625,0.675058,0.764983
5.6875,0.678875,0.761493
5.7125,0.661934,0.772027
5.7375,0.720702,0.824633
5.7625,0.717699,0.732464
5.7875,0.686671,0.822607
5.8125,0.674579,0.722949
